 31 1100.275380 3.994E-23 2.810E-02.07020.094  552.41750.81-.000700          1 0 0          0 0 0 33  5 29       34  4 30      0065501412 4 2 2 1    67.0   69.0
 31 1100.284200 4.279E-25 2.979E-02.06950.087 1536.66440.830.000000          1 1 0          0 1 0 40  7 33       41  6 36      0065501412 6 2 4 0    81.0   83.0
 31 1100.297600 2.661E-24 2.473E-01.07080.097 1544.46110.810.000000          2 0 0          1 0 0 31  3 29       30  4 26      4665503751 6 2 4 0    63.0   61.0
 31 1100.302100 4.651E-25 2.397E-02.07440.100 1344.51040.790.000000          2 0 0          1 0 0 21  4 18       22  3 19      4665503751 6 2 4 0    43.0   45.0
 31 1100.302340 4.343E-22 1.983E-01.07110.096  444.15880.80-.000700          1 0 0          0 0 0 30  4 26       29  5 25      0065501412 4 2 2 1    61.0   59.0
 31 1100.317900 1.517E-24 9.730E-02.07060.097 1474.52670.810.000000          1 0 1          0 0 1 32  3 30       31  2 29      4665503751 6 2 4 0    65.0   63.0
 31 1100.325500 1.972E-25 2.101E-02.07290.093 1585.20010.810.000000          1 0 1          0 0 1 33  6 27       33  5 28      4645503751 8 2 4 0    67.0   67.0
 31 1100.330250 1.946E-23 9.852E-03.07040.097  478.43900.81-.000700          1 0 0          0 0 0 32  3 29       33  2 32      0065501412 4 2 2 1    65.0   67.0
 31 1100.349100 2.284E-24 1.379E-01.07210.100 1427.69740.800.000000          2 0 0          1 0 0 27  2 26       26  3 23      4665503751 6 2 4 0    55.0   53.0
 31 1100.355700 9.805E-26 5.435E-01.06810.081 2502.00780.760.000000          2 0 0          1 0 0 55  6 50       54  7 47      4642203751 8 2 1 0   111.0  109.0
 31 1100.357000 7.750E-25 1.867E-02.07020.092 1279.26950.810.000000          1 1 0          0 1 0 33  6 28       34  5 29      0065501412 6 2 4 0    67.0   69.0
 31 1100.364600 3.427E-24 2.463E-01.07180.098 1470.93480.800.000000          2 0 0          1 0 0 28  3 25       27  4 24      4665503751 6 2 4 0    57.0   55.0
 31 1100.377900 1.339E-25 1.732E-02.07150.091 1624.98970.780.000000          1 0 1          1 0 0 33  7 26       32  5 27      4655503751 5 2 3 0    67.0   65.0
 31 1100.380820 8.108E-24 5.829E-02.06890.082 1102.35930.76-.000700          1 0 0          0 0 0 47  7 41       48  6 42      0045201412 8 2 1 1    95.0   97.0
 31 1100.401510 2.610E-24 6.508E-01.06780.076 1891.64170.76-.000700          1 0 0          0 0 0 63  8 56       62  9 53      0042201412 8 2 1 1   127.0  125.0
 31 1100.407520 8.361E-23 4.177E-01.06950.083 1023.08140.76-.000700          1 0 0          0 0 0 46  6 40       45  7 39      0045201412 8 2 1 1    93.0   91.0
 31 1100.415050 2.885E-25 1.320E-04.07370.092  407.60430.74-.000700          0 0 1          0 0 0 25  8 17       26  6 20      0065501412 4 2 2 1    51.0   53.0
 31 1100.423190 2.350E-22 3.004E-01.06960.090  703.77950.82-.000700          1 0 0          0 0 0 38  5 33       37  6 32      0065501412 4 2 2 1    77.0   75.0
 31 1100.425900 5.183E-25 3.247E-03.07740.099  880.01280.720.000000          0 1 1          0 1 0 18  6 13       17  4 14      0055501412 5 2 3 0    37.0   35.0
 31 1100.427500 1.442E-23 9.162E-02.07440.101  923.18140.790.000000          1 1 0          0 1 0 22  2 20       21  3 19      0065501412 6 2 4 0    45.0   43.0
 31 1100.443400 1.686E-24 3.234E-01.06650.092 1755.04660.830.000000          1 0 1          0 0 1 42  2 41       41  1 40      4665503751 6 2 4 0    85.0   83.0
 31 1100.466200 1.361E-24 1.151E-01.07080.098 1524.90010.810.000000          2 0 0          1 0 0 31  2 30       30  3 27      4665503751 6 2 4 0    63.0   61.0
 31 1100.475300 1.319E-24 3.633E-02.07600.102 1195.55790.780.000000          1 0 1          0 0 1 19  3 16       18  2 17      4665503751 6 2 4 0    39.0   37.0
 31 1100.479250 6.293E-24 7.229E-02.06830.085 1223.19990.76-.000700          1 0 0          0 0 0 53  3 51       52  4 48      0042201412 8 2 1 1   107.0  105.0
 31 1100.525400 8.606E-25 9.423E-03.07210.097 1068.77420.800.000000          1 1 0          0 1 0 26  5 21       27  4 24      0065501412 6 2 4 0    53.0   55.0
 31 1100.532000 7.808E-24 1.787E-03.07730.099  209.89360.72-.000700          0 0 1          0 0 0 19  6 13       19  4 16      0065501412 4 2 2 1    39.0   39.0
 31 1100.533920 1.565E-24 7.855E-03.06580.083 1028.37640.76-.000700          0 0 1          0 0 0 47  7 40       47  5 43      0005201412 0 2 1 1    95.0   95.0
 31 1100.537130 8.609E-25 1.696E-04.08070.105   70.45570.77-.000700          1 0 0          0 0 0 11  2 10       12  1 11      0065501412 4 2 2 1    23.0   25.0
 31 1100.542340 7.794E-25 4.336E-03.06990.078 1031.44470.86-.000700          0 0 1          0 0 0 43 10 33       44  8 36      0065501412 4 2 2 1    87.0   89.0
 31 1100.548490 3.235E-25 9.549E-03.06830.070 1409.48710.76-.000700          0 0 1          0 0 0 51 11 40       52  9 43      0042201412 8 2 1 1   103.0  105.0
 31 1100.559300 1.809E-24 1.279E-01.07140.099 1474.54190.800.000000          2 0 0          1 0 0 29  2 28       28  3 25      4665503751 6 2 4 0    59.0   57.0
 31 1100.569600 9.263E-25 5.679E-02.08060.107 1099.69720.760.000000          1 0 1          0 0 1  5  5  0        4  4  1      4655503751 7 2 4 0    11.0    9.0
 31 1100.572780 3.809E-23 2.989E-02.07000.093  580.76420.82-.000700          1 0 0          0 0 0 34  5 29       35  4 32      0065501412 4 2 2 1    69.0   71.0
 31 1100.574120 4.667E-23 1.789E-02.07140.098  394.11620.80-.000700          1 0 0          0 0 0 28  4 24       29  3 27      0065501412 4 2 2 1    57.0   59.0
 31 1100.586810 5.553E-25 8.786E-02.06780.076 1788.03820.76-.000700          1 0 0          0 0 0 60  9 51       61  8 54      0042201412 8 2 1 1   121.0  123.0
