 51 4085.706792 5.270E-30 2.772E+00.05360.059 4773.01610.76-.005230              4              2                    P 16      468885 5 8 3 3 2 7    31.0   33.0
 51 4085.785262 2.174E-27 1.281E+00.04640.049 3477.58510.71-.005000              3              1                    P 26      476663 5 8 3 3 2 1    51.0   53.0
 51 4090.514176 6.659E-30 2.800E+00.05450.060 4712.71560.76-.005110              4              2                    P 15      468885 5 8 3 3 2 7    29.0   31.0
 51 4091.016602 3.035E-25 4.028E-01.04200.041 2279.15110.74-.005000              2              0                    P 34      476623 5 8 2 2 2 1    67.0   69.0
 51 4091.297718 3.394E-27 1.292E+00.04690.050 3378.95370.71-.005000              3              1                    P 25      476663 5 8 3 3 2 1    49.0   51.0
 51 4095.253762 8.225E-30 2.829E+00.05520.061 4656.17240.77-.005050              4              2                    P 14      468885 5 8 3 3 2 7    27.0   29.0
 51 4096.743830 5.193E-27 1.303E+00.04750.051 3284.08460.72-.005000              3              1                    P 24      476663 5 8 3 3 2 1    47.0   49.0
 51 4097.089671 5.563E-25 4.062E-01.04250.041 2149.37990.74-.005000              2              0                    P 33      476623 5 8 2 2 2 1    65.0   67.0
 51 4099.925403 9.926E-30 2.859E+00.05590.062 4603.38890.78-.004930              4              2                    P 13      468885 5 8 3 3 2 7    25.0   27.0
 51 4102.123454 7.790E-27 1.315E+00.04840.052 3192.98150.72-.005587              3              1                    P 23      478884 5 8 3 3 2 3    45.0   47.0
 51 4103.097556 1.000E-24 4.096E-01.04300.042 2023.37150.74-.005000              2              0                    P 32      476623 5 8 2 2 2 1    63.0   65.0
 51 4104.528953 1.169E-29 2.890E+00.05660.063 4554.36700.78-.004950              4              2                    P 12      468885 5 8 3 3 2 7    23.0   25.0
 51 4107.436444 1.145E-26 1.326E+00.04910.053 3105.64790.73-.005084              3              1                    P 22      478884 5 8 3 3 2 3    43.0   45.0
 51 4109.040115 1.764E-24 4.131E-01.04360.043 1901.13080.74-.005000              2              0                    P 31      476623 5 8 2 2 2 1    61.0   63.0
 51 4109.064265 1.343E-29 2.924E+00.05730.064 4509.10880.79-.004880              4              2                    P 11      468885 5 8 3 3 2 7    21.0   23.0
 51 4112.682654 1.650E-26 1.338E+00.05020.054 3022.08730.73-.005939              3              1                    P 21      478884 5 8 3 3 2 3    41.0   43.0
 51 4113.531195 1.502E-29 2.961E+00.05790.065 4467.61580.79-.004840              4              2                    P 10      468885 5 8 3 3 2 7    19.0   21.0
 51 4114.917200 3.052E-24 4.166E-01.04410.043 1782.66240.74-.005000              2              0                    P 30      486623 5 8 2 2 2 1    59.0   61.0
 51 4117.861938 2.328E-26 1.350E+00.05030.055 2942.30280.74-.005465              3              1                    P 20      478884 5 8 3 3 2 3    39.0   41.0
 51 4117.929593 1.633E-29 3.002E+00.05870.066 4429.88980.79-.004770              4              2                    P  9      468885 5 8 3 3 2 7    17.0   19.0
 51 4120.728658 5.179E-24 4.202E-01.04460.046 1667.97090.74-.005000              2              0                    P 29      486823 6 8 2 3 2 1    57.0   59.0
 51 4122.259315 1.721E-29 3.047E+00.05960.067 4395.93220.79-.004690              4              2                    P  8      468885 5 8 3 3 2 7    15.0   17.0
 51 4122.974151 3.217E-26 1.363E+00.05130.056 2866.29750.74-.005354              3              1                    P 19      478884 5 8 3 3 2 3    37.0   39.0
 51 4126.474366 8.617E-24 4.238E-01.04510.047 1557.06070.74-.005000              2              0                    P 28      486823 6 8 2 3 2 1    55.0   57.0
 51 4126.520213 1.754E-29 3.100E+00.06080.068 4365.74430.78-.004600              4              2                    P  7      468885 5 8 3 3 2 7    13.0   15.0
 51 4128.019146 4.353E-26 1.376E+00.05190.057 2794.07430.75-.005312              3              1                    P 18      478884 5 8 3 3 2 3    35.0   37.0
 51 4130.712142 1.719E-29 3.165E+00.06250.070 4339.32740.77-.004440              4              2                    P  6      468885 5 8 3 3 2 7    11.0   13.0
 51 4132.154167 1.406E-23 4.274E-01.04570.048 1449.93590.74-.005000              2              0                    P 27      486823 6 8 2 3 2 1    53.0   55.0
 51 4132.996778 5.764E-26 1.389E+00.05290.058 2725.63610.75-.005224              3              1                    P 17      478884 5 8 3 3 2 3    33.0   35.0
 51 4134.834953 1.608E-29 3.248E+00.06490.072 4316.68240.76-.004190              4              2                    P  5      468885 5 8 3 3 2 7     9.0   11.0
 51 4137.767916 2.249E-23 4.311E-01.04640.049 1346.60080.74-.005000              2              0                    P 26      487823 6 8 2 3 2 1    51.0   53.0
 51 4137.906900 7.469E-26 1.402E+00.05360.059 2660.98550.76-.005228              3              1                    P 16      478884 5 8 3 3 2 3    31.0   33.0
 51 4138.888500 1.418E-29 3.367E+00.06790.075 4297.81020.76-.003800              4              2                    P  4      468885 5 8 3 3 2 7     7.0    9.0
 51 4142.749366 9.464E-26 1.416E+00.05450.060 2600.12490.76-.005105              3              1                    P 15      478884 5 8 3 3 2 3    29.0   31.0
 51 4142.872637 1.151E-29 3.562E+00.07130.078 4282.71160.77-.003290              4              2                    P  3      468885 5 8 3 3 2 7     5.0    7.0
 51 4143.315466 3.526E-23 4.349E-01.04690.050 1247.05920.74-.005000              2              0                    P 25      487823 6 8 2 3 2 1    49.0   51.0
 51 4146.787216 8.157E-30 3.988E+00.07520.082 4271.38710.77-.002980              4              2                    P  2      468885 5 8 3 3 2 7     3.0    5.0
 51 4147.524030 1.172E-25 1.431E+00.05520.061 2543.05670.77-.005048              3              1                    P 14      478884 5 8 3 3 2 3    27.0   29.0
 51 4148.796673 5.420E-23 4.387E-01.04750.051 1151.31500.74-.005000              2              0                    P 24      587823 6 8 2 3 2 1    47.0   49.0
 51 4150.632092 4.256E-30 6.028E+00.08050.088 4263.83720.78-.002790              4              2                    P  1      468885 5 8 3 3 2 7     1.0    3.0
 51 4152.230745 1.418E-25 1.446E+00.05590.062 2489.78310.78-.004926              3              1                    P 13      478884 5 8 3 3 2 3    25.0   27.0
 51 4154.211390 8.164E-23 4.426E-01.04840.052 1059.37180.74-.005587              2              0                    P 23      588825 6 8 3 3 2 3    45.0   47.0
 51 4156.869364 1.674E-25 1.463E+00.05660.063 2440.30620.78-.004952              3              1                    P 12      478884 5 8 3 3 2 3    23.0   25.0
 51 4158.112142 4.385E-30 2.040E+00.08040.088 4260.06220.78-.003320              4              2                    R  0      468885 5 8 3 3 2 7     3.0    1.0
 51 4159.559472 1.205E-22 4.466E-01.04910.053  971.23320.74-.005084              2              0                    P 22      588825 6 8 3 3 2 3    43.0   45.0
 51 4161.439741 1.927E-25 1.480E+00.05730.064 2394.62790.79-.004877              3              1                    P 11      478884 5 8 3 3 2 3    21.0   23.0
 51 4161.747023 8.661E-30 2.467E+00.07530.082 4263.83720.78-.003600              4              2                    R  1      468885 5 8 3 3 2 7     5.0    3.0
 51 4164.840773 1.742E-22 4.507E-01.05020.054  886.90240.74-.005939              2              0                    P 21      588825 6 8 3 3 2 3    41.0   43.0
 51 4165.311613 1.260E-29 2.663E+00.07130.078 4271.38710.77-.003750              4              2                    R  2      468885 5 8 3 3 2 7     7.0    5.0
 51 4165.941729 2.159E-25 1.499E+00.05790.065 2352.74990.79-.004840              3              1                    P 10      478884 5 8 3 3 2 3    19.0   21.0
 51 4168.805764 1.599E-29 2.783E+00.06790.075 4282.71160.76-.003850              4              2                    R  3      468885 5 8 3 3 2 7     9.0    7.0
 51 4170.055146 2.468E-22 4.548E-01.05030.055  806.38280.74-.005465              2              0                    P 20      588875 6 8 3 3 2 3    39.0   41.0
 51 4170.375182 2.352E-25 1.519E+00.05870.066 2314.67390.79-.004770              3              1                    P  9      478884 5 8 3 3 2 3    17.0   19.0
 51 4172.229329 1.869E-29 2.868E+00.06480.072 4297.81020.76-.003860              4              2                    R  4      468885 5 8 3 3 2 7    11.0    9.0
 51 4174.739953 2.483E-25 1.542E+00.05960.067 2280.40120.79-.004689              3              1                    P  8      478884 5 8 3 3 2 3    15.0   17.0
 51 4175.202446 3.422E-22 4.590E-01.05130.056  729.67740.74-.005354              2              0                    P 19      588885 6 8 3 3 2 3    37.0   39.0
 51 4175.582162 2.058E-29 2.934E+00.06240.070 4316.68240.77-.003890              4              2                    R  5      468885 5 8 3 3 2 7    13.0   11.0
